frame_number,time_sec,track_id,x_center,y_center,width,height,confidence
1,0,1,1245.6724853515625,533.5339965820312,209.86083984375,630.9166259765625,0.7385411858558655
25,1,1,1227.506103515625,552.43359375,210.8636474609375,635.035400390625,0.7989182472229004
49,2,1,1194.227294921875,549.3499755859375,211.2506103515625,635.1390380859375,0.6924070119857788
73,3,1,1200.9892578125,536.3461303710938,196.751220703125,594.341796875,0.7570279240608215
97,4,1,1216.94921875,530.1890258789062,188.554931640625,570.5690307617188,0.8031669855117798
121,5,1,1232.675537109375,535.7781372070312,190.8258056640625,578.690673828125,0.7863644957542419
145,6,1,1233.323486328125,535.8572387695312,190.626953125,581.0830688476562,0.8173317313194275
169,7,1,1232.3876953125,540.026123046875,195.1588134765625,598.4845581054688,0.8065193891525269
193,8,1,1230.47900390625,531.484375,190.10986328125,588.0081176757812,0.7964374423027039
217,9,1,1220.4984130859375,538.63037109375,200.330322265625,617.8760986328125,0.729647159576416
241,10,1,1211.9091796875,541.5076904296875,206.3160400390625,629.6265258789062,0.795966625213623
289,12,2,929.8150634765625,561.2945556640625,605.45654296875,923.194580078125,0.9117285013198853
313,13,2,928.3165283203125,561.197998046875,605.96484375,923.9207763671875,0.9124978184700012
337,14,2,926.7520751953125,561.1242065429688,606.13037109375,923.9759521484375,0.9125586748123169
361,15,2,925.449462890625,560.3087768554688,607.20654296875,925.5914916992188,0.9172564148902893
385,16,2,917.8319091796875,556.8322143554688,610.9796752929688,932.936767578125,0.9235968589782715
409,17,2,915.5165405273438,556.5829467773438,610.0460205078125,933.9920654296875,0.9251803159713745
433,18,2,913.7628784179688,556.8828735351562,607.5953369140625,933.5120239257812,0.9238630533218384
457,19,2,913.5390014648438,557.1052856445312,605.0440673828125,933.3139038085938,0.9241397976875305
481,20,2,913.5911865234375,557.971923828125,601.616455078125,931.6107177734375,0.9233800768852234
504,21,2,913.7734375,557.7467651367188,599.736083984375,932.4237060546875,0.9232428669929504
528,22,2,914.0904541015625,558.1234741210938,596.9869995117188,931.6975708007812,0.9238532781600952
576,24,3,1017.654052734375,551.2587280273438,332.26177978515625,939.2198486328125,0.8445935845375061
576,24,4,798.144775390625,629.2684326171875,402.27655029296875,773.0154418945312,0.7821131944656372
600,25,3,1016.8653564453125,554.658935546875,330.87139892578125,936.156982421875,0.8543388843536377
600,25,4,791.2940063476562,631.6405029296875,403.6435546875,775.1604614257812,0.7800002694129944
624,26,3,1009.9358520507812,552.5293579101562,330.9674072265625,937.911865234375,0.8799583911895752
624,26,4,794.1747436523438,633.3971557617188,402.9095458984375,773.206298828125,0.7907703518867493
696,29,5,950.0693359375,601.189453125,91.48822021484375,301.14794921875,0.7888855934143066
720,30,5,920.130126953125,619.3058471679688,95.499267578125,312.7012634277344,0.8532593846321106
744,31,5,870.009033203125,629.7615966796875,97.065673828125,317.88763427734375,0.8246203660964966
768,32,5,853.3820190429688,631.849609375,97.3499755859375,319.15008544921875,0.7510783076286316
792,33,5,796.236572265625,644.3441162109375,98.79498291015625,320.2788391113281,0.8906881809234619
1128,47,8,536.869384765625,497.578369140625,130.31097412109375,383.6851501464844,0.8377507925033569
1152,48,8,562.1988525390625,502.25201416015625,140.03826904296875,412.0723876953125,0.8015535473823547
1176,49,8,591.0256958007812,515.9791870117188,156.4212646484375,460.1192932128906,0.8568673729896545
1200,50,8,606.435791015625,524.47119140625,167.05633544921875,490.948974609375,0.89743572473526
1200,50,9,565.3447265625,475.2926940917969,151.69970703125,526.8761596679688,0.8426612019538879
1224,51,8,611.2000732421875,535.9644775390625,184.05145263671875,540.4827880859375,0.9081849455833435
1224,51,9,563.94921875,475.333740234375,162.87307739257812,564.39306640625,0.7780418992042542
1248,52,8,621.744140625,556.2970581054688,211.05426025390625,619.8438110351562,0.904639482498169
1272,53,10,620.2481689453125,526.9591064453125,281.95404052734375,767.4268798828125,0.8665482401847839
1296,54,4,595.209228515625,591.1287231445312,457.4775085449219,863.6218872070312,0.9224644899368286
1320,55,2,830.5471801757812,634.3855590820312,538.0838623046875,776.032958984375,0.8877010345458984
1344,56,12,525.9456176757812,544.56103515625,521.448974609375,952.711669921875,0.8782566785812378
1368,57,13,717.6935424804688,707.1898193359375,791.5032958984375,630.475830078125,0.867786705493927
1392,58,13,706.7759399414062,719.2977294921875,765.1636962890625,607.7283935546875,0.7402271628379822
1392,58,2,862.0243530273438,557.8135375976562,637.1575927734375,929.678466796875,0.813411295413971
1440,60,15,866.8721313476562,673.6201782226562,684.7022705078125,699.1202392578125,0.8659221529960632
1488,62,4,608.004638671875,640.5694580078125,407.140869140625,763.9448852539062,0.8196543455123901
1488,62,15,927.2091064453125,657.791015625,709.2951049804688,729.7106323242188,0.8966021537780762
1511,63,15,857.4010620117188,658.9268188476562,704.6104736328125,726.68701171875,0.8985013365745544
1511,63,2,669.6046142578125,573.895263671875,581.440673828125,883.7786254882812,0.821399986743927
1535,64,15,849.1708984375,673.7066040039062,671.739501953125,696.8095703125,0.7146246433258057
1535,64,13,642.650634765625,718.5501708984375,758.0831909179688,609.8679809570312,0.888495147228241
1559,65,15,794.4243774414062,683.9365844726562,660.1097412109375,675.719970703125,0.8571465611457825
1559,65,2,840.7928466796875,548.5181884765625,604.1054077148438,935.1258544921875,0.8154849410057068
1583,66,15,741.0382080078125,707.3740844726562,621.8717651367188,630.342529296875,0.8613764047622681
1583,66,2,949.132080078125,545.261962890625,590.0100708007812,948.0548095703125,0.9061511158943176
1607,67,15,746.9005126953125,703.5792236328125,641.64697265625,637.9575805664062,0.8098884224891663
1607,67,2,982.002197265625,545.1370239257812,576.474365234375,950.934814453125,0.8996777534484863
1631,68,2,1002.318359375,542.5347290039062,565.646240234375,955.4916381835938,0.8850889205932617
1631,68,13,755.8184814453125,698.796875,810.541748046875,647.40283203125,0.8515504598617554
1655,69,2,1009.634521484375,540.158935546875,557.2899780273438,960.2249145507812,0.9010664820671082
1655,69,13,753.2784423828125,700.6851196289062,806.1405639648438,645.1893310546875,0.8429669141769409
1679,70,2,1012.1403198242188,539.8095703125,547.5533447265625,960.3657836914062,0.9133357405662537
1679,70,13,757.921142578125,698.2137451171875,806.7626953125,647.9888305664062,0.8610072135925293
1703,71,2,1014.4742431640625,539.2174072265625,539.8955688476562,962.7860107421875,0.8669225573539734
1703,71,13,794.39990234375,703.8158569335938,792.055908203125,638.56640625,0.8400512337684631
1727,72,2,1015.8821411132812,538.26171875,531.9654541015625,964.0794067382812,0.8949413299560547
1727,72,13,810.4332885742188,713.1424560546875,763.6092529296875,618.7911376953125,0.8468808531761169
1751,73,2,1016.1282958984375,537.2191162109375,523.1381225585938,960.9042358398438,0.8952714204788208
1751,73,13,818.30712890625,717.41259765625,751.5324096679688,609.927490234375,0.8316866159439087
1775,74,2,1019.1715087890625,535.7467041015625,519.290771484375,966.8734741210938,0.8837767243385315
1775,74,13,821.5447998046875,720.5606689453125,742.6455688476562,603.5403442382812,0.828865110874176
1799,75,2,1021.46435546875,536.8092651367188,512.914306640625,965.832763671875,0.8722559809684753
1799,75,13,817.9281005859375,719.2994384765625,743.1607055664062,606.09033203125,0.8336633443832397
1823,76,2,1045.0089111328125,549.4902954101562,498.62945556640625,939.7938842773438,0.8384537100791931
1823,76,13,820.6436767578125,723.4735717773438,735.0307006835938,598.6114501953125,0.8227477669715881
1847,77,2,1039.44384765625,558.7891845703125,485.3468017578125,919.91015625,0.8656683564186096
1847,77,13,820.60400390625,725.1319580078125,730.951904296875,595.4205322265625,0.8377684950828552
1871,78,2,1034.934326171875,551.8433837890625,490.59619140625,932.7050170898438,0.8640098571777344
1871,78,13,824.6069946289062,726.22265625,729.7989501953125,593.5906982421875,0.8206073641777039
1895,79,2,1112.0186767578125,549.5548706054688,522.037353515625,941.8086547851562,0.871198832988739
1895,79,13,808.3419799804688,718.8818969726562,746.9156494140625,608.84228515625,0.8609985113143921
1919,80,2,1071.272216796875,566.8372802734375,509.8509521484375,906.318359375,0.8898186683654785
