image,tagged,emotion,matched_file,distance
track_149_sample_2_sec_491.jpg,ming,fear,main_project/data/my_face_db/ming/track_383_sample_2_sec_1137.jpg,0.011378507052432818
track_870_sample_2_sec_3839.jpg,xiao,fear,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.008439053330833834
track_447_sample_1_sec_1643.jpg,ming,sad,main_project/data/my_face_db/ming/track_825_sample_1_sec_3690.jpg,0.015155268674723832
track_1096_sample_1_sec_4275.jpg,ming,sad,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.008070859015893328
track_42_sample_1_sec_136.jpg,ming,sad,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.009195296085163673
track_620_sample_2_sec_2687.jpg,ming,sad,main_project/data/my_face_db/ming/track_383_sample_2_sec_1137.jpg,0.014170673961720448
track_692_sample_2_sec_3089.jpg,ming,angry,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.008140202283085873
track_392_sample_2_sec_1218.jpg,ming,sad,main_project/data/my_face_db/ming/track_383_sample_2_sec_1137.jpg,0.008808458286408638
track_948_sample_2_sec_3892.jpg,ming,angry,main_project/data/my_face_db/ming/track_825_sample_1_sec_3690.jpg,0.013331663125580429
track_521_sample_2_sec_2059.jpg,ming,happy,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.009047846532433623
track_1108_sample_2_sec_4299.jpg,ming,fear,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.011865841797941923
track_1056_sample_1_sec_4198.jpg,xiao,angry,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.01542302030038567
track_692_sample_1_sec_3081.jpg,ming,sad,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.010381609766810018
track_292_sample_2_sec_1074.jpg,ming,fear,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.008460107839263764
track_632_sample_2_sec_2750.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.010238525792510944
track_1069_sample_3_sec_4216.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.014543550320371246
track_519_sample_1_sec_2043.jpg,ming,fear,main_project/data/my_face_db/ming/track_383_sample_2_sec_1137.jpg,0.009057019823894064
track_481_sample_2_sec_1853.jpg,xiao,fear,main_project/data/my_face_db/xiao/track_481_sample_1_sec_1843.jpg,0.0036410530811107344
track_175_sample_3_sec_501.jpg,xiao,fear,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.009286210441656229
track_907_sample_3_sec_3861.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.008378479056657007
track_620_sample_3_sec_2694.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_62_sample_1_sec_212.jpg,0.06816312594959761
track_521_sample_3_sec_2062.jpg,ming,angry,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.009540948580383457
track_73_sample_2_sec_375.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.009778434137823866
track_118_sample_3_sec_469.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.009515692299868261
track_652_sample_1_sec_2890.jpg,ming,sad,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.009873893185972649
track_1121_sample_3_sec_4335.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.009161205680687345
track_1022_sample_1_sec_4058.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.009416723787355585
track_629_sample_1_sec_2746.jpg,ming,angry,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.008952586315641553
track_815_sample_1_sec_3684.jpg,ming,angry,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.007954317188196058
track_791_sample_1_sec_3650.jpg,ming,sad,main_project/data/my_face_db/ming/track_383_sample_2_sec_1137.jpg,0.009687890294377444
track_827_sample_1_sec_3692.jpg,ming,sad,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.009570949099934944
track_245_sample_2_sec_706.jpg,ming,sad,main_project/data/my_face_db/ming/track_383_sample_2_sec_1137.jpg,0.01595395560558699
track_1007_sample_1_sec_4033.jpg,ming,happy,main_project/data/my_face_db/ming/track_825_sample_1_sec_3690.jpg,0.022803159284694008
track_937_sample_2_sec_3877.jpg,ming,sad,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.008741845400143888
track_119_sample_2_sec_473.jpg,ming,sad,main_project/data/my_face_db/ming/track_62_sample_3_sec_244.jpg,0.015904978469103215
track_516_sample_1_sec_1989.jpg,ming,sad,main_project/data/my_face_db/ming/track_825_sample_1_sec_3690.jpg,0.01793561297302182
track_490_sample_3_sec_1912.jpg,ming,sad,main_project/data/my_face_db/ming/track_825_sample_1_sec_3690.jpg,0.02221111641620832
